Dataset 1,,,Dataset 2,,,Dataset 3,,,Dataset 4,,,Dataset 5,
X,Y,,X,Y,,X ,Y,,X,Y,,X,Y
0.184551077,2.773834633,,2.377031397,2.132955453,,0.3125,0.3125,,1.460131268,6.400226545,,3.872980334,6.818444225
2.849762572,3.210191392,,5.694478431,7.029264588,,0.3125,0.625,,1.545847531,7.433866437,,4.309719374,1.064245543
2.061576172,2.422880216,,5.657813848,4.621233948,,0.3125,0.9375,,2.168766522,3.64589917,,2.907531494,0.703057939
3.688920065,3.33843363,,2.394751696,7.482445451,,0.3125,1.25,,0.875418649,4.702974267,,3.780694661,0.333717659
3.014104412,0.835106541,,0.628272419,1.418467324,,0.3125,1.5625,,2.567957087,6.628619639,,3.539536856,5.139181884
1.742831945,8.201931705,,0.986912924,3.23044636,,0.3125,1.875,,6.152438525,4.436027766,,5.289678296,6.937018635
2.50582723,3.899070599,,7.373224003,0.941303217,,0.3125,2.1875,,1.592832429,6.454547482,,3.165678262,4.216465563
5.656500683,6.596622257,,4.969721632,1.655093534,,0.3125,2.5,,0.78824793,5.111506726,,1.084246119,9.138651736
7.446665518,4.167941908,,4.094190968,0.452373115,,0.3125,2.8125,,2.663131403,5.533748865,,8.279115927,5.04591691
7.227971334,8.304009126,,6.154088136,9.875376346,,0.3125,3.125,,0.954704396,5.243702169,,5.502026497,3.105759715
7.453871379,5.250199939,,6.130276024,3.918017871,,0.3125,3.4375,,1.104104623,4.764143642,,7.373254289,5.838550878
1.239681375,7.711079749,,4.083213469,6.58345363,,0.3125,3.75,,4.299264154,3.945411607,,5.071611586,0.67451901
0.92859918,4.27720355,,0.400089714,3.08438172,,0.3125,4.0625,,1.274666056,5.554231126,,5.135642571,6.745597249
4.701579106,9.964836485,,2.304983974,7.721526777,,0.3125,4.375,,1.812221955,4.700887402,,4.569626039,1.397594333
6.047919007,4.069620962,,8.717545858,4.848968748,,0.3125,4.6875,,3.56371781,3.92503047,,9.230788294,5.504721729
6.385164807,6.04165493,,7.193799281,2.411102155,,0.3125,5,,2.015142923,4.823142275,,3.544796033,5.930164427
5.929038007,3.216310963,,7.063417109,7.385029648,,0.3125,5.3125,,1.808041707,4.769367521,,4.331301059,0.583152998
1.236056282,1.165606664,,7.079973311,9.618019895,,0.3125,5.625,,1.60568578,3.814392201,,7.822711778,3.117905501
3.61450754,9.412197851,,8.109632367,3.503137848,,0.3125,5.9375,,2.362090102,4.655310537,,0.041256737,6.790668217
0.744150427,7.406923873,,6.749899998,8.823896679,,0.3125,6.25,,1.790204068,5.557378993,,1.48906717,2.967882644
1.524817745,4.336982527,,2.80524362,3.836180049,,0.3125,6.5625,,1.047731856,5.122291885,,9.181910764,7.230105699
0.365023251,8.625874039,,9.893037848,0.941549493,,0.3125,6.875,,0.579333133,5.546268627,,5.800737203,2.221019026
8.981805128,7.467370127,,0.01589539,3.832760788,,0.3125,7.1875,,0.619939613,4.785054064,,4.735025903,1.5630234
6.990134894,7.178752387,,4.915965098,4.329637286,,0.3125,7.5,,2.69710259,4.614556777,,6.851154693,7.680492776
5.494618898,9.433348521,,4.49637293,3.196497846,,0.3125,7.8125,,1.837062785,6.377281905,,1.427826225,1.611894417
5.30004587,8.825892832,,8.175298229,6.794576409,,0.3125,8.125,,2.514229677,4.285576628,,0.048225168,6.385797759
